*Vertices 362
6882 44953
6882 18426568
6886 307
6886 863
6886 2154
6886 5945
6886 6611
6886 14849
6886 18110
6886 21211
6886 21217
6886 32070
6886 41963
6886 245107
6886 411889
6886 534366
6886 645042
6886 861667
6886 953415
6886 2204744
6886 2241181
6886 5043544
6886 5923845
6886 19468510
6886 29313809
7701 2154
7701 6886
7701 13270
7701 31769
7701 56120
7701 1481886
7701 21076367
7930 863
7930 5211
7930 21217
7930 32070
7930 43715
7930 85533
7930 145422
7930 534366
7930 3414021
7930 5043544
7930 24909346
8522 2154
8522 5399
8522 6886
8522 18110
8522 21211
8522 21217
8522 101146
8522 645042
8522 1213941
8522 1481886
8522 5043544
9457 24467
9457 24899
9457 239646
9457 19468510
10819 24113
10819 32070
10819 72809
10819 432006
10819 1838387
10819 24909346
11955 3356
11955 7930
11955 14975
11955 15043
11955 15992
11955 19331
11955 19831
11955 22873
11955 24113
11955 25433
11955 31756
11955 31956
11955 32070
11955 32759
11955 33057
11955 43715
11955 182688
11955 230331
11955 430699
11955 925990
11955 3414021
11955 5043544
11955 5058628
11955 14640471
11955 19468510
11955 19908980
12102 6882
12102 14579
12102 44953
12102 5333249
12102 18998750
12655 12655
13270 13887
13270 14849
13270 31756
13270 32070
13270 469644
13270 534366
13270 3414021
13270 5043544
13270 9046904
13270 18426568
13270 18935732
13270 19468510
13887 13270
13887 15043
13887 18110
13887 21211
13887 24113
13887 469644
13887 534366
13887 20082093
14533 5211
14533 14579
14533 23235
14533 31769
14533 3162905
14579 5211
14579 14533
14579 16275
14579 72809
14579 217513
14579 534366
14579 2887667
14579 14939434
14849 307
14849 863
14849 2154
14849 5945
14849 6611
14849 6886
14849 13270
14849 18110
14849 21217
14849 24113
14849 25433
14849 32070
14849 57706
14849 186833
14849 534366
14849 861667
14849 3661571
14849 4142989
14849 5043544
14849 18337522
14849 18998720
14849 24909346
14975 863
14975 6310
14975 11955
14975 18426501
14975 18935732
15043 534366
15043 9946136
15043 14640471
15043 18426568
15992 3356
15992 11955
15992 22873
15992 24113
15992 24150
15992 25433
15992 31769
15992 32070
15992 33057
15992 195322
15992 534366
15992 614618
15992 3301347
15992 3418303
15992 4859974
15992 5043544
15992 18935732
15992 18998750
15992 19468510
15992 19908980
15992 20948898
15992 26230922
16134 307
16134 863
16134 24113
16134 636208
16134 5043544
16134 10110474
16134 19468510
16134 24909346
16275 14533
16275 14579
16275 645042
16275 2863933
16275 2887667
16275 14939434
17541 307
17541 24113
17541 153041
17541 18426501
17633 14579
17633 21133
17633 25391
17633 31769
17633 31956
17633 52625
17633 53029
17633 72809
17633 5043324
17633 8729320
17633 18337522
17633 31214851
18110 16275
18110 21211
18110 22800
18110 32005
18110 56120
18110 645042
19331 14533
19331 3414021
19331 9331926
19331 14640471
19331 18426568
19831 11955
19831 21133
19831 22873
19831 24113
19831 24150
19831 25433
19831 33057
19831 3301347
19831 5058628
21133 11955
21133 53029
21133 557007
21133 845943
21133 5043324
21133 5043544
21133 31214851
21133 31279643
21211 5399
21211 6611
21211 8522
21211 13887
21211 14849
21211 23338
21211 32005
21217 863
21217 2154
21217 5211
21217 5399
21217 7930
21217 13270
21217 14533
21217 14849
21217 18110
21217 31756
21217 31769
21217 32070
21217 534366
21217 5043544
21217 17349325
21217 18426501
21217 18935732
21217 19468510
22462 22462
22800 3356
22800 6310
22800 21211
22800 24113
22800 25433
22800 31769
22800 32759
22800 158984
22800 534366
22800 5397026
22800 18935732
22873 11955
22873 19831
22873 24113
22873 24150
22873 25433
22873 31756
22873 33057
22873 534366
22873 3301347
22873 3414021
22873 3418303
22873 24909346
23235 14533
23235 31769
23235 51153
23235 18998750
23338 5399
23338 6611
23338 18110
23338 21211
23338 56285
23338 1263005
23338 3062771
24093 3356
24093 9457
24093 14533
24093 17633
24093 23235
24093 24898
24093 25391
24093 31769
24093 52625
24093 56472
24093 232595
24093 343508
24093 1379146
24093 3414021
24113 307
24113 863
24113 3356
24113 6357
24113 11955
24113 14849
24113 15992
24113 23235
24113 25433
24113 31756
24113 32070
24113 32212
24113 32293
24113 32759
24113 33057
24113 72809
24113 85533
24113 230331
24113 534366
24113 3414021
24113 3418303
24113 4859974
24113 5043324
24113 5043544
24113 5058628
24113 10110474
24113 13190675
24113 17349325
24113 19468510
24113 19908980
24113 20767983
24113 24909346
24113 26230922
24150 19831
24150 3301347
24150 5058628
24467 24467
24898 48569
24898 56472
24898 168212
24899 557007
25391 15043
25391 21133
25391 31956
25391 151210
25391 239646
25391 432006
25391 3162905
25391 9946136
25433 6886
25433 11955
25433 14849
25433 15992
25433 19831
25433 21133
25433 22462
25433 22873
25433 24113
25433 24150
25433 31756
25433 32070
25433 32212
25433 32293
25433 33057
25433 43715
25433 49001
25433 53029
25433 206805
25433 230331
25433 430699
25433 1481886
25433 3301347
25433 3414021
25433 5043544
25433 19666611
25433 19908980
25433 21216874
25433 24909346
31389 645042
31389 18935732
31756 863
31756 3356
31756 11955
31756 24113
31756 24467
31756 25433
31756 32070
31756 32759
31756 33057
31756 43715
31756 145422
31756 534366
31756 3414021
31756 3418303
31756 5043192
31756 5043544
31756 10110474
31756 19468510
31756 24909346
31769 14533
31769 31956
31769 76762
31769 82545
31769 9946136
31769 23621094
31769 26230922
31956 3356
31956 14533
31956 17633
31956 25391
31956 31769
31956 32293
31956 52625
31956 645042
31956 3301347
31956 23621094
32005 2154
32005 14579
