Authority values
21593: 0.0456862
21638: 0.00634219
21648: 0.0240443
21649: 0.00946862
21650: 0.0186199
21651: 0.00622035
21654: 0.0207625
21663: 0.000797196
21689: 0.00987323
21694: 0.0121154
21712: 0.000252942
21736: 0.00527572
21742: 0.0012419
21780: 0.0223588
21809: 0.0226221
21854: 0.00482758
21888: 0.000801241
21923: 0.00271454
21927: 0.00234359
21928: 0.00276206
21939: 0.00697755
21973: 0.0119966
21981: 0.00336067
22018: 0.00612001
22026: 0.000232534
22094: 2.40049e-05
22107: 0.0066379
22126: 0.0036378
22195: 0.0757545
22199: 0.0137439
22215: 0.00077401
22217: 0.00144252
22218: 0.0196298
22219: 0.01356
22278: 0.038521
22303: 0.0044627
22329: 0.00417457
22344: 0.0370937
22348: 0.00542182
22409: 0.015018
22426: 0.00261523
22483: 0.00367546
22497: 0.00957351
22513: 0.0115669
22520: 0.00158175
22522: 0.00123083
22556: 0.00477224
22576: 0.0259059
22591: 0.00924863
22614: 0.00634318
22621: 0.012594
22641: 0.0105898
22645: 0.00335657
22666: 0.00489534
22667: 0.00888527
22692: 0.0016852
22722: 0.000566767
22785: 0.00186004
22802: 0.00753756
22918: 0.00894158
22926: 0.00345508
22936: 0.0652747
22943: 0.0161207
22948: 0.00372529
22954: 0.00835507
22973: 0.000750486
22984: 0.0015727
22989: 0.0454058
22997: 0.0201446
23004: 0.00545735
23006: 0.00103379
23033: 0.0665024
23041: 0.0270407
23055: 0.00225834
23062: 0.00556684
23069: 0.00224717
23070: 0.0316432
23080: 0.00271423
23203: 0.00712051
23235: 0.0603604
23253: 0.000777295
23273: 0.0221189
23287: 0.00450809
23305: 0.00772561
23312: 0.00346339
23315: 0.0031787
23318: 0.000788565
23319: 0.00154491
23324: 0.00157299
23332: 0.0177703
23372: 0.0108818
23440: 0.0578024
23450: 0.00485516
23486: 0.00044453
23487: 0.00394813
23503: 0.00819059
23508: 0.00290108
23535: 0.0018408
23550: 0.0129662
23588: 0.00366104
23604: 0.00651532
23617: 0.000699467
23619: 0.000699574
23634: 0.00478846
23659: 0.0139148
23665: 0.0204948
23688: 0.00107274
23716: 0.0033458
23749: 0.00149184
23805: 0.00811163
23824: 0.00362542
23844: 0.0182731
23906: 0.00189021
23922: 0.00765896
23932: 0.00125686
23939: 0.0136875
23980: 0.00188202
24047: 0.00254192
24075: 0.00290972
24077: 0.0177522
24080: 0.00820459
24107: 0.0101223
24110: 0.0193005
24113: 0.0424262
24117: 0.00761622
24131: 0.0122338
24144: 0.00306662
24145: 0.000901278
24150: 0.0244949
24170: 0.00815575
24176: 0.00815789
24209: 0.00221595
24230: 0.010628
24265: 0.00125876
24281: 0.0317625
24304: 0.00332634
24306: 0.0116755
24355: 0.00675822
24398: 0.0564753
24403: 0.0105129
24419: 0.000957614
24438: 0.0120916
24451: 0.00538827
24471: 0.00426011
24518: 0.00371023
24573: 0.00540177
24632: 0.00441432
24668: 0.00168651
24714: 0.000608552
24787: 0.00259335
24808: 0.00216832
24872: 0.00438604
24886: 0.00495911
24893: 0.00819677
24894: 0.000217932
24951: 0.0184286
24975: 0.000502938
25002: 0.00259147
25009: 0.00517506
25080: 0.00226467
25101: 0.00985323
25121: 0.00495129
25122: 0.00616306
25169: 0.000248962
25204: 0.00486525
25213: 0.00717837
25215: 0.000631444
25231: 0.0203742
25233: 0.00350093
25254: 0.00149377
25309: 0.00623904
25381: 0.00263039
25385: 0.0041815
25406: 0.00384159
25410: 0.0102674
25417: 0.00122475
25424: 0.00246137
25432: 0.000313178
25433: 0.0251753
25441: 0.00434871
25445: 0.0503931
25458: 0.0279774
25493: 0.00556747
25504: 0.0362075
25520: 0.00588312
25536: 0.0330857
25676: 0.0089692
25679: 0.0109356
25734: 0.0256157
25736: 0.00706318
25739: 0.00470658
25748: 0.00906854
25750: 0.00517116
25775: 0.000479596
25825: 0.00185512
25831: 0.00254924
25832: 0.00208902
25945: 0.00173204
25978: 0.00175723
26003: 0.000195154
26023: 0.00479407
26061: 0.0175943
26094: 0.0157526
26163: 0.00472892
26308: 0.00567612
26327: 0.00592336
26328: 0.00283508
26367: 0.00142495
26388: 0.00207925
26444: 0.00445762
26454: 0.00352865
26531: 0.00120889
26547: 0.0063031
26558: 0.00403275
26589: 0.00184074
26667: 0.0957562
26669: 0.00521387
26678: 0.00737144
26687: 0.0104816
26709: 0.00333434
26714: 0.00767528
26715: 0.00776633
26716: 0.00986906
26740: 0.0154543
26741: 0.0132971
26746: 0.00872007
26748: 0.066323
26753: 0.00121254
26763: 0.018236
26764: 0.00237449
26779: 0.0663212
26783: 0.0098261
26830: 0.0346732
26873: 0.00137183
26884: 0.0010938
26940: 0.0044122
26941: 0.00171079
26949: 0.00220259
26957: 0.00387343
26976: 0.0168151
26977: 0.0222828
26980: 0.0319734
26989: 0.0386064
26994: 0.0310269
26997: 0.0035489
27008: 0.00183366
27019: 0.0636007
27024: 0.00145986
27058: 0.0120125
27065: 0.00300146
27113: 0.00786649
27114: 0.00408026
27117: 0.00172913
27119: 0.00767576
27127: 0.00299859
27158: 0.00124692
27159: 0.00700483
27165: 0.00383649
27198: 0.0085378
27238: 0.0113326
27248: 0.0139773
27278: 0.0143956
27308: 0.0137601
27318: 0.0587533
27338: 0.0358835
27378: 0.00651606
27380: 0.00370674
27441: 0.00279832
27481: 0.00147691
27567: 0.0043843
27633: 0.00661257
27643: 0.0173033
27675: 0.0038885
27683: 0.0168934
27686: 0.00944667
27687: 0.0131879
27709: 0.0121851
27710: 0.00279786
27718: 0.012398
27751: 0.00834434
27769: 0.00442482
27838: 0.0013232
27848: 0.00577157
27859: 0.00026199
27862: 0.0243907
27884: 0.00451843
27891: 0.00105132
27964: 0.0163705
28013: 0.00617525
28148: 0.00560027
28175: 0.00919407
28189: 0.00521234
28207: 0.00676541
28284: 0.000557592
28301: 0.000272671
28314: 0.00416076
28368: 0.00381901
28397: 0.00865403
28412: 0.00349845
28443: 0.0028972
28480: 0.00449952
28482: 0.00211999
28485: 0.000219315
28504: 0.00946312
28565: 0.00538733
28684: 0.00663247
28704: 0.00575523
28706: 0.00246869
28722: 0.00503772
28738: 0.0034607
28825: 0.00975888
28830: 0.00087149
28887: 0.00592034
28894: 0.00688514
28916: 0.00366135
28942: 0.00334746
28951: 0.00608871
28967: 0.000957614
28987: 0.00684218
28994: 0.000553162
29035: 0.00346917
29036: 0.00512127
29071: 0.00467451
29107: 0.00212618
29123: 0.00319962
29144: 0.00218541
29215: 0.00266134
29263: 0.0100392
29301: 0.00218404
29332: 0.00378397
29376: 0.00549389
29469: 0.000162667
29540: 0.00394017
29585: 0.00475675
29588: 0.000610462
29631: 0.00516699
29656: 0.00878448
29773: 0.0240154
29778: 0.00705294
29780: 0.00197684
29789: 0.025979
29810: 0.0305938
29816: 0.0131316
29823: 0.00439909
29831: 0.0365106
29944: 0.0088488
29970: 0.0072363
30003: 0.0176678
30009: 0.00702673
30010: 0.00469715
30011: 0.00890454
30012: 0.00174215
30034: 0.0102076
30040: 0.00433814
30042: 0.00407396
30043: 0.00146151
30054: 0.00131305
30057: 0.0260331
30107: 0.0400511
30128: 0.0400597
30188: 0.020937
30217: 0.0083293
30227: 0.0105625
30273: 0.00399874
30297: 0.00678663
30305: 0.00732444
30309: 0.000145635
30339: 0.00415493
30342: 0.00360599
30387: 0.00327615
30388: 0.00116904
30395: 0.00907959
30400: 0.00064573
30463: 0.00105505
30475: 0.00393907
30479: 0.0051069
30538: 0.00726481
30638: 0.00199701
30654: 0.000760827
30657: 0.00765693
30677: 0.00169994
30747: 0.00266063
30837: 0.00215279
30906: 0.00183713
30932: 0.00063978
30936: 0.00519043
30967: 0.000713259
30978: 0.000701704
30984: 0.00514588
30990: 0.000141488
31034: 0.00409509
31119: 0.00354922
31126: 0.00474612
31127: 0.0030671
31140: 0.00223336
31161: 0.00854208
31187: 0.00427413
31214: 0.000755374
31247: 0.00482772
31281: 0.00204231
31302: 0.00626248
31306: 0.000866601
31389: 0.00524613
31428: 0.000795483
31516: 0.00751096
31532: 0.0100903
31550: 0.000859027
31562: 0.00040655
31577: 0.00716074
31600: 0.0329445
31627: 0.00171492
31643: 0.00342771
31644: 0.0205104
31653: 0.00591159
31656: 0.00195478
31658: 0.0013853
31717: 0.19635
31723: 0.00439011
31730: 0.00672768
31737: 0.0213215
31740: 0.0083156
31742: 0.0140316
31746: 0.00413862
31756: 0.0340908
31769: 0.0964067
31780: 0.00272997
31792: 0.00257046
31797: 0.0110279
31816: 0.0185233
31873: 0.0210951
31907: 0.00291321
31922: 0.0134157
31928: 0.00327983
31956: 0.0168326
31958: 0.00279351
31979: 0.00629975
31990: 0.00490853
32005: 0.00590169
32070: 0.0383642
32073: 0.028253
32084: 0.00690397
32087: 0.013493
32090: 0.0122532
32113: 0.017711
32188: 0.00484007
32212: 0.0119674
32237: 0.0127802
32239: 0.0175442
32277: 0.00627527
32306: 0.00111515
32307: 0.00782572
32408: 0.0152102
32410: 0.00101822
32413: 0.0057639
32432: 0.0256183
32433: 0.00202822
32441: 0.00964787
32443: 0.00920898
32489: 0.00637985
32494: 0.00374802
32498: 0.00113331
32502: 0.00270747
32517: 0.00460257
32549: 0.00194209
32567: 0.0102105
32571: 0.0147077
32581: 0.00215404
32616: 0.0154517
32628: 0.00191865
32647: 0.0146338
32676: 0.00191348
32716: 0.0031653
32736: 0.00793194
32742: 0.00658232
32759: 0.0113021
32788: 0.00335217
32851: 0.00850829
32897: 0.0131186
32905: 0.00680387
32921: 0.00110048
32927: 0.137534
32977: 0.00230414
33057: 0.0180827
33119: 0.0012966
33125: 0.00355462
33127: 0.0137181
33139: 0.0303831
33143: 0.00888157
33149: 0.00918844
33163: 0.00362527
33167: 0.00311499
33175: 0.00512783
33187: 0.00206742
33209: 0.00992568
33263: 0.00624431
33265: 0.0314224
33277: 0.00387272
33291: 0.00582974
33294: 0.00594309
